City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Rawson,-43.3002,-65.1023,61.72,78,100,22.64,AR,overcast clouds
1,Carnarvon,-24.8667,113.6333,87.8,62,0,10.36,AU,clear sky
2,Provideniya,64.3833,-173.3,25.07,93,100,11.25,RU,light snow
3,Erenhot,43.6475,111.9767,25.59,19,0,15.35,CN,clear sky
4,Avarua,-21.2078,-159.775,82.4,78,20,6.91,CK,few clouds
5,Tasiilaq,65.6145,-37.6368,24.8,54,90,26.46,GL,light snow
6,Coari,-4.085,-63.1414,74.17,91,99,2.04,BR,overcast clouds
7,San Eugenio,16.3598,120.357,83.41,64,87,5.14,PH,overcast clouds
8,Basco,20.4487,121.9702,76.21,81,66,21.41,PH,broken clouds
9,Yellowknife,62.456,-114.3525,8.6,78,90,9.22,CA,snow
10,Hermanus,-34.4187,19.2345,61.0,95,91,17.63,ZA,moderate rain
11,Puerto Ayora,-0.7393,-90.3518,77.0,93,75,3.51,EC,broken clouds
12,Sassandra,4.95,-6.0833,77.49,88,100,6.04,CI,overcast clouds
13,Saint-Philippe,-21.3585,55.7679,77.0,83,75,6.91,RE,light rain
14,Georgetown,5.4112,100.3354,89.6,62,20,2.3,MY,few clouds
15,Ushuaia,-54.8,-68.3,48.2,71,75,8.05,AR,light rain
16,Albany,42.6001,-73.9662,23.0,32,35,3.0,US,scattered clouds
17,Punta Arenas,-53.15,-70.9167,48.2,87,90,6.91,CL,light rain
18,Labuhan,-6.8844,112.2051,83.82,73,86,6.06,ID,overcast clouds
19,Airai,-8.9266,125.4092,73.06,72,99,1.21,TL,overcast clouds
20,San Cristobal,7.7669,-72.225,65.21,93,60,2.08,VE,broken clouds
21,Hithadhoo,-0.6,73.0833,84.38,62,82,6.15,MV,broken clouds
22,Mataura,-46.1927,168.8643,57.99,75,99,14.0,NZ,overcast clouds
23,Vao,-22.6667,167.4833,76.75,80,0,15.48,NC,clear sky
24,Saldanha,-33.0117,17.9442,60.8,88,76,19.57,ZA,light rain
25,Istanbul,41.0351,28.9833,51.01,87,0,2.3,TR,clear sky
26,Vaini,-21.2,-175.2,75.2,94,75,3.44,TO,broken clouds
27,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,9.22,CA,broken clouds
28,Boueni,-12.9025,45.0761,77.0,88,0,4.61,YT,clear sky
29,Bredasdorp,-34.5322,20.0403,66.2,94,100,3.44,ZA,light rain
30,Rikitea,-23.1203,-134.9692,81.72,71,37,2.62,PF,scattered clouds
31,Mar Del Plata,-38.0023,-57.5575,69.01,94,0,5.75,AR,light rain
32,Butaritari,3.0707,172.7902,81.63,78,9,13.67,KI,light rain
33,Lompoc,34.6391,-120.4579,51.8,71,75,3.44,US,broken clouds
34,Necochea,-38.5473,-58.7368,55.99,94,0,2.77,AR,clear sky
35,Klaksvik,62.2266,-6.589,35.6,87,40,6.91,FO,scattered clouds
36,Busselton,-33.65,115.3333,78.01,39,9,5.99,AU,clear sky
37,Kurilsk,45.2333,147.8833,34.18,95,100,11.14,RU,overcast clouds
38,Palestine,31.9216,35.2033,55.4,94,98,4.61,PS,mist
39,Castro,-24.7911,-50.0119,62.11,91,16,2.1,BR,few clouds
40,Yumen,40.2833,97.2,40.82,20,55,20.96,CN,broken clouds
41,Dingle,10.9995,122.6711,86.31,68,13,7.45,PH,few clouds
42,Port Moresby,-9.4431,147.1797,86.0,70,40,11.5,PG,scattered clouds
43,Sayyan,15.1718,44.3244,53.89,25,71,3.6,YE,broken clouds
44,Port Alfred,-33.5906,26.891,69.01,96,98,13.56,ZA,overcast clouds
45,Souillac,-20.5167,57.5167,77.0,94,75,2.3,MU,moderate rain
46,Palmer,42.1584,-72.3287,24.01,39,1,20.71,US,clear sky
47,Bluff,-46.6,168.3333,57.99,75,59,14.0,NZ,broken clouds
48,Yarada,17.65,83.2667,82.76,58,0,2.75,IN,clear sky
49,Saskylakh,71.9167,114.0833,-18.98,93,97,3.83,RU,overcast clouds
50,Yurga,55.7231,84.8861,6.75,91,100,9.37,RU,overcast clouds
51,East London,-33.0153,27.9116,71.6,94,75,9.22,ZA,broken clouds
52,Faanui,-16.4833,-151.75,83.14,74,28,10.27,PF,scattered clouds
53,Ahuimanu,21.4447,-157.8378,77.0,69,40,2.24,US,light rain
54,Ilebo,-4.3167,20.5833,71.1,99,100,0.72,CD,light rain
55,Vangaindrano,-23.35,47.6,73.42,87,69,4.32,MG,light rain
56,Grand Gaube,-20.0064,57.6608,75.99,93,83,1.99,MU,heavy intensity rain
57,Baykit,61.67,96.37,12.11,89,100,7.63,RU,overcast clouds
58,Benguela,-12.5763,13.4055,79.93,80,100,3.94,AO,overcast clouds
59,Idrinskoye,54.3708,92.1358,10.78,80,100,4.68,RU,overcast clouds
60,Olinda,-8.0089,-34.8553,78.8,69,40,6.91,BR,scattered clouds
61,Pangnirtung,66.1451,-65.7125,-18.45,86,4,1.88,CA,clear sky
62,Lianzhou,24.7811,112.3825,76.14,66,46,8.28,CN,scattered clouds
63,Barrow,71.2906,-156.7887,-5.8,77,1,11.5,US,snow
64,Guerrero Negro,27.9769,-114.0611,56.66,76,63,17.13,MX,broken clouds
65,Saint-Augustin,51.226,-58.6502,2.93,82,100,15.08,CA,overcast clouds
66,Bac Lieu,9.285,105.7244,84.9,57,99,15.57,VN,overcast clouds
67,Fairbanks,64.8378,-147.7164,15.8,56,1,3.09,US,clear sky
68,Nynashamn,58.9034,17.9479,34.0,81,88,1.05,SE,overcast clouds
69,Carballo,43.213,-8.691,39.99,100,90,3.44,ES,fog
70,Barkhan,29.8977,69.5256,68.67,34,90,4.94,PK,overcast clouds
71,Bangangte,5.1409,10.5198,63.1,91,100,1.21,CM,overcast clouds
72,Cape Town,-33.9258,18.4232,60.8,88,75,17.27,ZA,light rain
73,Iqaluit,63.7506,-68.5145,-16.01,69,75,23.02,CA,snow
74,Khatanga,71.9667,102.5,-19.57,92,100,11.36,RU,overcast clouds
75,Hasaki,35.7333,140.8333,64.0,39,20,6.91,JP,few clouds
76,Lavrentiya,65.5833,-171.0,22.39,94,100,12.97,RU,light snow
77,Port Blair,11.6667,92.75,84.2,84,40,6.91,IN,mist
78,Pak Phanang,8.3511,100.202,90.0,58,40,8.05,TH,scattered clouds
79,Terney,45.0503,136.6092,46.09,51,0,6.02,RU,clear sky
80,Makakilo City,21.3469,-158.0858,75.2,69,90,4.61,US,overcast clouds
81,Bathsheba,13.2167,-59.5167,78.8,73,40,12.66,BB,scattered clouds
82,Luderitz,-26.6481,15.1594,63.59,77,0,18.34,NA,clear sky
83,Westport,41.1415,-73.3579,30.0,34,1,20.71,US,clear sky
84,Qaqortoq,60.7167,-46.0333,37.4,44,90,43.73,GL,light snow
85,Lorengau,-2.0226,147.2712,84.4,68,98,7.31,PG,overcast clouds
86,Deputatskiy,69.3,139.9,-3.41,83,91,2.86,RU,overcast clouds
87,Quatre Cocos,-20.2078,57.7625,77.0,94,75,2.3,MU,moderate rain
88,Yulara,-25.2406,130.9889,75.2,20,0,19.57,AU,clear sky
89,Ponta Do Sol,32.6667,-17.1,55.0,69,99,1.99,PT,overcast clouds
90,Bogale,16.2833,95.4,95.97,19,45,7.65,MM,scattered clouds
91,Ostrovnoy,68.0531,39.5131,21.85,93,98,4.16,RU,light snow
92,Mastic Beach,40.7668,-72.8521,30.2,31,1,21.85,US,clear sky
93,Sumbe,-11.2061,13.8437,79.39,89,100,8.55,AO,light rain
94,Lebu,-37.6167,-73.65,54.57,93,1,1.66,CL,clear sky
95,Muros,42.7762,-9.0603,45.0,85,1,1.01,ES,clear sky
96,Cherskiy,68.75,161.3,-10.28,90,81,7.14,RU,broken clouds
97,Caravelas,-17.7125,-39.2481,73.36,84,0,4.21,BR,clear sky
98,Bethel,41.3712,-73.414,26.01,44,2,1.01,US,clear sky
99,Araouane,18.9048,-3.5265,69.46,33,0,9.42,ML,clear sky
100,Alice Springs,-23.7,133.8833,69.8,46,100,17.27,AU,overcast clouds
101,Cidreira,-30.1811,-50.2056,72.55,86,44,6.11,BR,scattered clouds
102,Nesna,66.1967,13.0213,33.01,88,98,7.94,NO,overcast clouds
103,Isangel,-19.55,169.2667,78.8,94,75,7.25,VU,broken clouds
104,New Norfolk,-42.7826,147.0587,71.01,43,20,4.0,AU,few clouds
105,Luganville,-15.5333,167.1667,81.55,81,77,5.41,VU,broken clouds
106,Kangaatsiaq,68.3065,-53.4641,11.39,89,100,16.55,GL,overcast clouds
107,Thompson,55.7435,-97.8558,26.6,39,75,9.22,CA,broken clouds
108,Atuona,-9.8,-139.0333,80.42,69,7,10.6,PF,clear sky
109,Orange,33.7,-117.7675,55.99,71,90,5.75,US,overcast clouds
110,Ust-Nera,64.5667,143.2,0.46,90,100,3.27,RU,overcast clouds
111,Longyearbyen,78.2186,15.6401,-2.2,65,20,8.05,SJ,few clouds
112,Hambantota,6.1241,81.1185,84.2,65,0,6.91,LK,clear sky
113,Shenzhen,22.5455,114.0683,80.01,61,40,2.24,CN,scattered clouds
114,Coquimbo,-29.9533,-71.3436,59.0,82,20,4.61,CL,few clouds
115,Ketchikan,55.3422,-131.6461,30.2,80,40,3.44,US,scattered clouds
116,Dikson,73.5069,80.5464,-23.46,97,100,12.3,RU,overcast clouds
117,Progreso,21.2833,-89.6667,80.6,65,20,13.8,MX,few clouds
118,Hobart,-42.8794,147.3294,71.01,40,40,20.71,AU,scattered clouds
119,Kapaa,22.0752,-159.319,73.4,88,90,18.41,US,moderate rain
120,Balkhash,46.844,74.9804,14.0,92,75,8.95,KZ,broken clouds
121,Gaoua,10.2992,-3.2508,76.53,28,97,3.62,BF,overcast clouds
122,Jamestown,42.097,-79.2353,23.0,63,1,10.47,US,clear sky
123,Ribeira Grande,38.5167,-28.7,60.39,92,34,6.93,PT,scattered clouds
124,Pevek,69.7008,170.3133,-7.4,96,100,15.48,RU,light snow
125,Jever,53.5833,7.9,39.2,93,9,10.36,DE,clear sky
126,San Pedro,14.35,121.0167,86.0,70,75,3.44,PH,broken clouds
127,Cabo San Lucas,22.8909,-109.9124,66.2,63,20,1.92,MX,few clouds
128,Strezhevoy,60.7333,77.5889,15.8,86,90,11.18,RU,light snow
129,Buraydah,26.326,43.975,64.4,39,20,9.22,SA,dust
130,Charters Towers,-20.1,146.2667,89.44,41,12,10.0,AU,few clouds
131,Richards Bay,-28.783,32.0377,70.86,93,21,7.61,ZA,few clouds
132,Torbay,47.6666,-52.7314,26.01,93,90,5.75,CA,snow
133,Saint George,37.1041,-113.5841,55.0,50,1,2.89,US,clear sky
134,Torata,-17.0769,-70.8433,57.09,88,100,3.44,PE,overcast clouds
135,Vostok,46.4856,135.8833,47.53,69,0,2.28,RU,clear sky
136,Fort Nelson,58.8053,-122.7002,1.4,71,40,3.44,CA,light snow
137,Romanovskaya,47.5426,42.0285,33.06,82,89,16.22,RU,overcast clouds
138,Nome,64.5011,-165.4064,21.2,93,90,13.8,US,snow
139,Choctaw,35.4976,-97.2689,55.99,38,1,6.91,US,clear sky
140,Cap Malheureux,-19.9842,57.6142,75.99,93,83,1.99,MU,heavy intensity rain
141,Kholm,59.2667,32.85,34.72,97,100,9.19,RU,light snow
142,Port Lincoln,-34.7333,135.8667,68.49,63,99,7.38,AU,overcast clouds
143,Iskateley,67.6803,53.1512,13.75,95,100,2.48,RU,overcast clouds
144,Lazaro Cardenas,17.9583,-102.2,74.68,82,32,2.1,MX,scattered clouds
145,Ginir,7.1333,40.7,59.83,63,0,1.54,ET,clear sky
146,Mananara,-16.1667,49.7667,75.79,83,12,6.15,MG,few clouds
147,Tual,-5.6667,132.75,83.68,68,93,4.38,ID,overcast clouds
148,Hilo,19.7297,-155.09,71.6,83,90,4.61,US,light rain
149,Miri,4.4148,114.0089,86.0,74,40,5.75,MY,scattered clouds
150,Kysyl-Syr,63.8986,122.7617,-7.6,87,30,8.7,RU,scattered clouds
151,Lata,40.1629,-8.3327,46.99,93,0,2.3,PT,clear sky
152,Bambous Virieux,-20.3428,57.7575,77.0,94,75,2.3,MU,moderate rain
153,Vila Velha,-20.3297,-40.2925,77.0,83,0,2.3,BR,clear sky
154,Krasnoselkup,65.7,82.4667,11.1,93,95,7.49,RU,overcast clouds
155,Verkhnevilyuysk,63.4453,120.3167,-4.32,85,37,8.99,RU,scattered clouds
156,Umkomaas,-30.2067,30.7978,70.2,90,26,6.71,ZA,scattered clouds
157,Mahebourg,-20.4081,57.7,77.0,94,75,2.3,MU,moderate rain
158,Totness,5.8833,-56.3167,76.66,89,100,10.13,SR,overcast clouds
159,Shingu,33.7333,135.9833,60.8,41,20,12.66,JP,few clouds
160,Pemba,-12.974,40.5178,75.2,94,75,8.05,MZ,moderate rain
161,San Quintin,30.4833,-115.95,54.28,84,74,15.75,MX,broken clouds
162,Dibulla,11.2725,-73.3091,75.69,82,58,7.49,CO,broken clouds
163,Khani,41.9563,42.9566,46.4,49,0,29.93,GE,clear sky
164,Sainte-Maxime,43.3,6.6333,50.0,46,78,14.97,FR,broken clouds
165,Muttupet,10.4,79.4833,84.13,57,2,8.43,IN,clear sky
166,Marawi,7.9986,124.2928,84.0,80,11,5.01,PH,few clouds
167,Nouadhibou,20.931,-17.0347,64.35,74,0,19.98,MR,clear sky
168,Kaitangata,-46.2817,169.8464,59.16,83,94,7.29,NZ,overcast clouds
169,Zhezkazgan,47.8043,67.7144,5.83,77,21,5.97,KZ,few clouds
170,Palmerston North,-40.35,175.6167,73.0,59,51,5.99,NZ,broken clouds
171,Guider,9.9342,13.9486,79.07,44,100,7.0,CM,overcast clouds
172,Beringovskiy,63.05,179.3167,9.1,87,100,10.87,RU,overcast clouds
173,Knysna,-34.0363,23.0471,64.4,94,20,17.27,ZA,moderate rain
174,Ranong,9.9658,98.6348,86.0,66,20,10.36,TH,few clouds
175,Tuatapere,-46.1333,167.6833,57.0,74,80,15.99,NZ,broken clouds
176,Gupitan,7.7758,125.6406,90.91,62,40,3.2,PH,scattered clouds
177,Hovd,48.0056,91.6419,20.28,23,100,4.76,MN,light snow
178,Taltal,-25.4,-70.4833,62.89,89,39,2.33,CL,scattered clouds
179,Severo-Kurilsk,50.6789,156.125,36.95,85,7,5.53,RU,clear sky
180,Salalah,17.0151,54.0924,69.8,49,0,4.61,OM,clear sky
181,Bontang,0.1333,117.5,87.1,64,1,4.97,ID,clear sky
182,Gazanjyk,39.2446,55.5154,21.79,91,21,11.59,TM,few clouds
183,Cervo,43.6702,-7.4101,33.01,100,7,1.99,ES,clear sky
184,Srednekolymsk,67.45,153.6833,-4.52,90,32,7.76,RU,scattered clouds
185,Barcelos,41.5388,-8.6151,53.01,76,0,4.61,PT,clear sky
186,Beloha,-25.1667,45.05,72.01,78,0,10.6,MG,clear sky
187,Zaozerne,45.1582,33.2787,43.52,63,0,7.92,UA,clear sky
188,Mehamn,71.0357,27.8492,30.2,86,90,9.22,NO,light snow
189,Thunder Bay,48.4001,-89.3168,21.2,58,1,6.91,CA,clear sky
190,Juazeiro,-9.4117,-40.4986,77.0,69,0,4.61,BR,clear sky
191,Matane,48.8286,-67.522,12.0,55,100,22.44,CA,overcast clouds
192,Mildura,-34.2,142.15,72.0,30,91,9.22,AU,overcast clouds
193,Aklavik,68.2191,-135.0107,-7.6,77,96,6.91,CA,overcast clouds
194,Kroya,-7.6331,109.2461,87.4,64,61,3.58,ID,broken clouds
195,Clovis,36.8252,-119.7029,55.4,62,75,5.75,US,broken clouds
196,At-Bashi,41.1702,75.8106,24.37,83,86,1.5,KG,overcast clouds
197,Nador,35.174,-2.9287,53.6,94,75,5.19,MA,broken clouds
198,Plettenberg Bay,-34.0527,23.3716,68.13,92,100,3.18,ZA,light rain
199,Pirapora,-17.345,-44.9419,65.95,82,97,1.34,BR,overcast clouds
200,Kodiak,57.79,-152.4072,35.6,60,1,12.66,US,clear sky
201,Maltahohe,-24.8333,16.9833,66.51,44,62,5.84,NA,broken clouds
202,Karatuzskoye,53.6072,92.8667,15.26,74,100,3.11,RU,overcast clouds
203,Katobu,-4.9408,122.5276,88.47,63,13,1.88,ID,few clouds
204,Gillette,44.2911,-105.5022,28.99,93,90,6.13,US,overcast clouds
205,Victoria,22.2855,114.1577,79.0,64,40,4.61,HK,scattered clouds
206,Shirokiy,49.758,129.523,37.81,72,100,25.75,RU,moderate rain
207,Tecoanapa,16.5167,-98.75,75.2,83,0,4.76,MX,clear sky
208,Beaverlodge,55.2166,-119.4361,12.2,79,90,27.63,CA,overcast clouds
209,La Ronge,55.1001,-105.2842,41.0,60,20,12.66,CA,few clouds
210,Carutapera,-1.195,-46.02,75.4,92,0,2.91,BR,clear sky
211,Cacador,-26.7753,-51.015,61.74,96,44,1.92,BR,scattered clouds
212,Faya,18.3851,42.4509,59.0,41,0,3.02,SA,clear sky
213,Buluang,13.3068,123.3425,85.17,70,56,6.33,PH,broken clouds
214,Beira,-19.8436,34.8389,73.38,91,60,5.19,MZ,broken clouds
215,Baghmara,23.795,86.2085,86.81,22,0,1.36,IN,clear sky
216,Floro,61.5996,5.0328,35.6,75,0,4.61,NO,clear sky
217,Upernavik,72.7868,-56.1549,-7.73,99,99,6.29,GL,overcast clouds
218,Fallon,39.4735,-118.7774,52.0,16,75,11.97,US,broken clouds
219,Kolpny,52.2282,37.0368,30.06,91,98,13.18,RU,light snow
220,Dahanu,19.9667,72.7333,84.78,29,0,9.26,IN,clear sky
221,Sao Filipe,14.8961,-24.4956,70.68,73,0,4.07,CV,clear sky
222,Halifax,44.6453,-63.5724,21.2,63,100,8.05,CA,overcast clouds
223,Bengkulu,-3.8004,102.2655,83.05,76,9,6.13,ID,clear sky
224,Shimoda,34.6667,138.95,59.0,47,20,6.91,JP,few clouds
225,Kalur Kot,32.1564,71.2594,74.35,37,100,9.4,PK,overcast clouds
226,Yushala,57.0761,64.2601,14.0,57,0,15.66,RU,clear sky
227,Nishihara,26.1842,127.7558,82.4,30,40,10.36,JP,scattered clouds
228,Mackay,-21.15,149.2,86.0,66,31,12.66,AU,scattered clouds
229,Chicama,-7.8447,-79.1469,73.65,76,96,4.12,PE,overcast clouds
230,Tiksi,71.6872,128.8694,3.07,89,100,3.2,RU,overcast clouds
231,Pisco,-13.7,-76.2167,77.0,65,0,3.44,PE,clear sky
